fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,24,ODISHA,2405,BALESHWAR,2427845,256.823283552171,33,157,2205.533159845,24876,0,35529,1561434,240143,44387,103444,18663,171.44627,6387.105499145,47004,63638,161730,271675,133,256900,411292,60405,4010.1260693,779862,75,31.14,4.47,99.73,NA
2024-2025,Dec,24,ODISHA,2407,DHENKANAL,4172515,259.960543816069,39,111,3743.00042068,10409,0,15723,1747521,294331,51575,291807,37848,180.12494,8465.99045558,44711,60086,156594,272504,814,200109,341853,26132,4542.8650949,836852,58,44.33,19.61,99.36,NA
2024-2025,Dec,24,ODISHA,2411,KORAPUT,8041556,269.087867273924,46,515,12031.268188416,21999,0,39892,5405509,726907,46005,3093522,189693,233.20187,26810.038941816,115266,150210,220737,338922,7010,258810,387251,61891,14545.5688834,2477657,57,51.66,20.21,99.32,NA
2024-2025,Dec,24,ODISHA,2415,JHARSUGUDA,1303822,254.762038514332,38,31,756.200351539001,5731,0,4025,642566,138994,19478,286828,41329,85.94897,2479.163561939,16829,23890,49670,94922,497,63489,115912,9756,1637.0142404,306327,60,42.96,21.66,99.83,NA
2024-2025,Dec,24,ODISHA,2429,RAYAGADA,4877577,265.812247676064,45,363,4617.039680815,13695,0,26125,3158004,551361,34465,1977286,124697,202.02421,13213.425304915,69418,95701,125444,202547,4090,156579,244247,39820,8394.3614141,1542584,49,58.35,10.5,99.51,NA
2024-2025,Dec,24,ODISHA,2401,SAMBALPUR,2267040,253.753158991654,38,78,835.400203958,12142,0,10554,1462951,209687,24440,746587,79043,200.58599,4748.270570958,38309,54508,90705,160411,753,128959,225709,22696,3712.284377,678272,67,34.02,36.9,99.67,NA
2024-2025,Dec,24,ODISHA,2407,DHENKANAL,4172515,260.379651499776,39,112,3959.46103179,10478,0,15734,1762897,296968,51596,293512,37850,217.24542,8766.93151669,44912,60367,156634,272570,822,200247,342081,26212,4590.2250649,844112,58,44.6,19.46,99.38,NA
2024-2025,Dec,24,ODISHA,2415,JHARSUGUDA,1303822,254.91311848049,38,31,814.042712445001,5747,0,4041,648630,140458,19493,289738,41348,90.44137,2557.927042845,16949,24060,49693,94968,505,63543,116004,9788,1653.4429604,308999,60,42.92,21.83,99.85,NA
2024-2025,Dec,24,ODISHA,2421,ANGUL,3369076,253.421543149141,37,127,3931.44280163,11078,2,18371,1512336,175899,33023,221924,34129,147.2618,7911.28983043,40239,54745,138927,245142,638,171222,292514,29449,3832.5852288,780114,58,55.74,8.28,99.81,NA
2024-2025,Dec,24,ODISHA,2424,GAJAPATI,2765128,281.225688481182,41,126,3179.30916979,9306,0,18347,2041225,118482,11182,1404136,111980,184.35753,9104.11575949,49452,72591,91562,170317,2543,111600,199348,27653,5740.4490597,1023998,59,49.27,23.45,99.61,NA
